Team,OVR Rating,OFF Rating,DEF Rating
Dadeville,-4.04,-2.60,-1.44
Arcadia Valley,-4.05,-2.08,-1.97
Scotland County,-4.05,-1.79,-2.25
Richland,-4.12,-2.07,-2.05
Northeast (Cairo),-4.19,-2.53,-1.65
Archie,-4.21,-2.22,-1.99
Raytown,-4.22,-1.36,-2.85
Leopold,-4.22,-2.64,-1.58
Liberty (Mountain View),-4.40,-1.35,-3.05
Sarcoxie,-4.44,-2.36,-2.08
Mark Twain,-4.44,-0.81,-3.63
Putnam County,-4.52,-2.02,-2.50
Wheatland,-4.57,-2.43,-2.13
Sweet Springs,-4.57,-2.89,-1.68
Pierce City,-4.65,-1.59,-3.05
Van Horn,-4.69,-2.19,-2.50
Sparta,-4.69,-2.84,-1.85
Raytown South,-4.70,-2.21,-2.48
North Harrison,-4.73,-3.37,-1.36
Jasper,-4.75,-2.72,-2.03
East Prairie,-4.76,-2.38,-2.38
Northwest (Hughesville),-4.91,-2.82,-2.10
Green Ridge with La Monte,-4.92,-0.42,-4.50
Versailles,-4.93,-2.52,-2.41
Paris with Faith Walk,-4.96,-2.57,-2.39
Appleton City,-4.99,-2.34,-2.65
Oak Ridge,-5.05,-3.26,-1.79
Lockwood,-5.07,-2.59,-2.48
Elsberry,-5.13,-4.09,-1.04
Salem,-5.31,-2.36,-2.95
Billings,-5.34,-1.87,-3.47
Bishop LeBlond,-5.38,-2.01,-3.37
Senath-Hornersville,-5.42,-4.06,-1.36
Caruthersville with Hayti,-5.46,-2.94,-2.52
Walnut Grove,-5.46,-2.37,-3.08
Pleasant Hope,-5.50,-3.84,-1.66
Hermann,-5.55,-3.42,-2.12
South Pemiscot,-5.62,-4.00,-1.62
Monroe City,-5.63,-1.75,-3.88
South Harrison,-5.65,-2.58,-3.07
Community,-5.70,-3.26,-2.44
St. Joseph Christian,-5.78,-2.44,-3.34
Valley,-5.79,-4.09,-1.70
Jamestown,-5.81,-3.38,-2.43
Northeast Nodaway with Worth County,-5.85,-2.65,-3.20
Blue Eye,-5.86,-2.14,-3.71
Albany,-5.92,-2.27,-3.65
Ritenour,-5.97,-2.78,-3.19
Twin Rivers,-6.02,-4.06,-1.96
Marionville,-6.05,-3.38,-2.67
Christian Fellowship Sr.,-6.12,-3.25,-2.88
South Iron,-6.16,-2.06,-4.11
New Heights Christian,-6.17,-1.64,-4.53
Seymour,-6.17,-4.10,-2.07
Concordia,-6.21,-2.80,-3.41
Delta,-6.29,-2.67,-3.63
Buffalo,-6.31,-2.77,-3.54
Lexington,-6.33,-2.99,-3.34
Parkway North,-6.41,-2.19,-4.22
Calvary Lutheran,-6.48,-4.49,-1.99
Brashear with Novinger,-6.49,-4.38,-2.12
La Plata,-6.54,-3.24,-3.30
Metro,-6.60,-2.18,-4.42
Exeter,-6.60,-3.28,-3.32
Wheaton,-6.65,-3.70,-2.94
"Tarkio with Fairfax, Craig",-6.65,-3.41,-3.25
St. James,-6.65,-3.51,-3.14
Bloomfield,-6.73,-3.27,-3.46
Grandview,-6.76,-2.30,-4.46
New Haven,-6.78,-3.08,-3.71
Halfway,-6.88,-3.17,-3.71
Hermitage,-6.94,-3.28,-3.66
Meadville with Linn County,-6.95,-3.36,-3.59
Canton,-7.09,-3.35,-3.74
Risco,-7.42,-4.40,-3.02
Glasgow,-7.52,-3.56,-3.96
Slater,-7.76,-5.30,-2.46
Lakeland,-7.81,-4.50,-3.31
Midway,-7.87,-1.85,-6.02
Brookfield,-7.88,-3.85,-4.03
Maplewood-Richmond Hts.,-8.00,-2.79,-5.21
Crystal City,-8.03,-2.72,-5.31
Willow Springs,-8.19,-5.08,-3.11
Santa Fe with Norborne,-8.40,-3.25,-5.15
Harrisburg,-8.44,-3.08,-5.36
Otterville,-8.45,-4.48,-3.97
Southwest (Washburn),-8.72,-4.53,-4.18
Campbell,-8.72,-5.32,-3.40
Woodland,-8.79,-4.16,-4.63
University City,-8.85,-2.84,-6.01
Stoutland,-8.97,-5.24,-3.73
Princeton,-9.09,-3.90,-5.19
Galena,-9.38,-4.83,-4.56
Osborn with Stewartsville,-9.40,-4.40,-4.99
Parkview,-9.43,-3.55,-5.88
Crest Ridge,-9.51,-3.53,-5.99
Lafayette County,-9.59,-3.37,-6.22
Kingsville,-9.62,-4.09,-5.53
Central (New Madrid County),-9.72,-5.33,-4.38
North Andrew,-9.73,-4.71,-5.02
University Academy Charter with Ewing Marion Kauffman,-9.84,-3.06,-6.78
Central (Springfield),-9.85,-2.80,-7.05
Bismarck,-10.10,-4.69,-5.41
Butler,-10.13,-3.08,-7.04
Polo,-10.21,-4.79,-5.42
Knox County,-10.46,-5.57,-4.89
Penney,-10.60,-4.81,-5.79
Ellington,-10.64,-3.81,-6.83
Greenwood,-10.71,-4.18,-6.54
Lutheran (Kansas City),-10.78,-3.95,-6.83
Louisiana,-10.79,-4.38,-6.41
Hancock,-10.81,-5.02,-5.79
Plato,-10.92,-4.39,-6.53
Braymer with Breckenridge,-10.98,-6.95,-4.03
Steelville,-11.01,-5.33,-5.68
Kingston,-11.18,-5.37,-5.81
Cabool,-11.19,-4.85,-6.34
Higbee,-11.21,-6.01,-5.20
Charleston,-11.27,-4.02,-7.25
DeKalb,-11.35,-5.63,-5.72
Summersville,-11.50,-2.96,-8.55
South Nodaway with Jefferson (Conception),-11.61,-5.78,-5.84
Fredericktown,-11.66,-4.25,-7.41
Bourbon,-11.68,-7.21,-4.48
Crane,-11.68,-5.53,-6.15
Missouri Military Academy,-11.76,-5.95,-5.81
South Shelby,-11.86,-5.42,-6.44
"Newtown-Harris with Grundy County, Tri-County",-11.87,-7.07,-4.80
Leeton,-11.90,-5.50,-6.39
Gideon,-12.03,-5.46,-6.57
Clarkton,-12.19,-5.24,-6.95
Weaubleau,-12.49,-4.83,-7.66
Bishop DuBourg,-12.56,-6.63,-5.92
Hurley,-12.57,-5.23,-7.34
Highland,-12.70,-4.72,-7.99
Van-Far,-12.74,-2.78,-9.95
Greenfield with Golden City,-12.87,-5.40,-7.47
Macks Creek,-13.25,-7.21,-6.04
Bevier,-13.51,-5.64,-7.86
Clearwater,-13.57,-6.04,-7.53
Liberal,-13.58,-6.40,-7.18
Milan,-14.07,-6.55,-7.52
"Tina-Avalon with Hale, Bosworth",-14.07,-5.97,-8.09
East (Kansas City),-14.08,-5.05,-9.03
Prairie Home with Bunceton,-14.13,-5.81,-8.32
Montrose with Ballard,-14.40,-7.07,-7.33
Malden,-14.50,-6.54,-7.96
Grandview (Hillsboro),-14.66,-5.30,-9.36
Green City,-14.68,-5.80,-8.88
Pattonsburg with Winston,-14.78,-7.37,-7.41
Drexel,-15.33,-8.04,-7.29
Ruskin,-15.35,-4.56,-10.79
Climax Springs,-15.37,-7.07,-8.29
Madison,-15.40,-6.67,-8.72
Stover,-15.55,-4.68,-10.88
Winona,-15.57,-5.75,-9.82
McCluer North,-15.58,-7.08,-8.50
